E001,N001,N002,6,25900.20064,0.15,4
E002,N001,N003,4,23403.47319,0.15,4
E003,N002,N001,6,25900.20064,0.15,4
E004,N002,N006,5,4958.180928,0.15,4
E005,N003,N001,4,23403.47319,0.15,4
E006,N003,N004,4,17110.52372,0.15,4
E007,N003,N012,4,23403.47319,0.15,4
E008,N004,N003,4,17110.52372,0.15,4
E009,N004,N005,2,17782.7941,0.15,4
E010,N004,N011,6,4908.82673,0.15,4
E011,N005,N004,2,17782.7941,0.15,4
E012,N005,N006,4,4947.995469,0.15,4
E013,N005,N009,5,10000,0.15,4
E014,N006,N002,5,4958.180928,0.15,4
E015,N006,N005,4,4947.995469,0.15,4
E016,N006,N008,2,4898.587646,0.15,4
E017,N007,N008,3,7841.81131,0.15,4
E018,N007,N018,2,23403.47319,0.15,4
E019,N008,N006,2,4898.587646,0.15,4
E020,N008,N007,3,7841.81131,0.15,4
E021,N008,N009,10,5050.193156,0.15,4
E022,N008,N016,5,5045.822583,0.15,4
E023,N009,N005,5,10000,0.15,4
E024,N009,N008,10,5050.193156,0.15,4
E025,N009,N010,3,13915.78842,0.15,4
E026,N010,N009,3,13915.78842,0.15,4
E027,N010,N011,5,10000,0.15,4
E028,N010,N015,6,13512.00155,0.15,4
E029,N010,N016,4,4854.917717,0.15,4
E030,N010,N017,8,4993.510694,0.15,4
E031,N011,N004,6,4908.82673,0.15,4
E032,N011,N010,5,10000,0.15,4
E033,N011,N012,6,4908.82673,0.15,4
E034,N011,N014,4,4876.508287,0.15,4
E035,N012,N003,4,23403.47319,0.15,4
E036,N012,N011,6,4908.82673,0.15,4
E037,N012,N013,3,25900.20064,0.15,4
E038,N013,N012,3,25900.20064,0.15,4
E039,N013,N024,4,5091.256152,0.15,4
E040,N014,N011,4,4876.508287,0.15,4
E041,N014,N015,5,5127.526119,0.15,4
E042,N014,N023,4,4924.790605,0.15,4
E043,N015,N010,6,13512.00155,0.15,4
E044,N015,N014,5,5127.526119,0.15,4
E045,N015,N019,3,14564.75315,0.15,4
E046,N015,N022,3,9599.180565,0.15,4
E047,N016,N008,5,5045.822583,0.15,4
E048,N016,N010,4,4854.917717,0.15,4
E049,N016,N017,2,5229.910063,0.15,4
E050,N016,N018,3,19679.89671,0.15,4
E051,N017,N010,8,4993.510694,0.15,4
E052,N017,N016,2,5229.910063,0.15,4
E053,N017,N019,2,4823.950831,0.15,4
E054,N018,N007,2,23403.47319,0.15,4
E055,N018,N016,3,19679.89671,0.15,4
E056,N018,N020,4,23403.47319,0.15,4
E057,N019,N015,3,14564.75315,0.15,4
E058,N019,N017,2,4823.950831,0.15,4
E059,N019,N020,4,5002.607563,0.15,4
E060,N020,N018,4,23403.47319,0.15,4
E061,N020,N019,4,5002.607563,0.15,4
E062,N020,N021,6,5059.91234,0.15,4
E063,N020,N022,5,5075.697193,0.15,4
E064,N021,N020,6,5059.91234,0.15,4
E065,N021,N022,2,5229.910063,0.15,4
E066,N021,N024,3,4885.357564,0.15,4
E067,N022,N015,3,9599.180565,0.15,4
E068,N022,N020,5,5075.697193,0.15,4
E069,N022,N021,2,5229.910063,0.15,4
E070,N022,N023,4,5000,0.15,4
E071,N023,N014,4,4924.790605,0.15,4
E072,N023,N022,4,5000,0.15,4
E073,N023,N024,2,5078.508436,0.15,4
E074,N024,N013,4,5091.256152,0.15,4
E075,N024,N021,3,4885.357564,0.15,4
E076,N024,N023,2,5078.508436,0.15,4
